number,name,description,hotter,image
1,69,"How to do it: For this position, one partner lies down, flat on their back. The other climbs on top, so they're facing away from the other person's upper body. This creates the illusion of the number 69. (Get it?) Your genitals should be lined up with your partner's mouth, and vice versa. Alternatively, try it in a side-by-side position.","Sure, the mouth-to-genitals stuff is the main attraction, but don't shy away from getting handsy, too. Folks on the bottom can get a better angle to their partner's genitals by using a sex wedge such as the Dame Pillo, says Donna Oriowo, PhD, a licensed sex therapist and owner and lead therapist at AnnodRight. The on-top partner might also benefit from a sex toy, such as the Vedo Quaker Anal Vibe, she adds. ""It has a lot of versatility, so you get to engage other senses, which can bring so much more fun,"" says Oriowo.",69.png
2,Corkscrew,"Near the edge of a bed or bench, the receiver should rest on their hip and forearm and press their thighs together. The giving partner stands and straddles the receiver, entering or grinding from behind.","Instead of letting the giver do all the work, the receiver can try thrusting their hips slightly to match the tempo.",corkscrew.png
3,Face-Off,The giving partner sits on a chair or the edge of the bed; the receiver faces them while seated on their lap.,"Let your fingers (and hands) do the talking. Once seated, you both can put your hands anywhere on each other's bodies to make things more interesting.",face-off.png
4,Doggy Style,"The receiver gets on all fours. Then, the giver kneels behind them, with their upper body straight up or slightly draped over the receiver (ya know, like a humping dog).","Vulva owners can stimulate the clitoris with one hand, or ask their partner to do the finger work for them. ""Temperature play can happen here, too!"" says Oriowo. ""Grab an ice cube and slowly run it down the spine of your partner.""",doggy_style.png
5,Pretzel Dip,"The receiving partner lies down on their side. Then, the giving partner kneels between their thighs, straddling their bottom leg. The receiver's top leg then rests on one of the giver's thighs.","Add nipple clamps into the mix or grab an ice cube and use it on your or your partner's nipples, says Oriowo.",pretzel_dip.png
6,Flatiron,"The receiver lies facedown on the bed, legs straight, hips slightly raised. The giver can enter from behind.","This is a great opportunity to nibble or bite on your partner's shoulders and the back of their neck to add additional sensations,",flatiron.png
7,G-Whiz,The receiver lies on their back with one leg resting on each of the giver’s shoulders. The giver can enter as they would from the front.,The giver can rock the receiver in a side-to-side or up-and-down motion.,g-whiz.png
8,Cowgirl,"The receiver kneels on top, pushing off the giver's chest and sliding up and down their thighs. The receiver can relieve some of the weight from their partner's pelvis by leaning back and supporting themself on their thighs.","Change the depth and pressure by bringing your chests closer together, a.k.a. lean in,"" says Oriowo. ""While you’re leaning forward, take the time to add in some nipple play and neck kisses."" Alternatively, she recommends grinding in directions that slightly differ from what you normally do. Tend to go back and forth? Channel your inner Ariana Grande and go side to side.",cowgirl.png
9,Wheelbarrow,"The receiver gets on their hands and feet and has the giver pick them up by the pelvis. Then, the receiver grips the giver's waist with their thighs.",Try resting on a table or the side of the bed and give your arms a break. ,wheelbarrow.png
10,Leap Frog,"This is a modified doggy style position. The receiver gets on their hands and knees, then, keeping hips raised, rests their head and arms on the bed. The giver can enter from behind.",Vulva owners can use their hands or a toy to stimulate the clitoris.,leap_frog.png
11,Magic Mountain,"The giver sits, legs bent, leaning back on their hands and forearms. The receiver does the same and then inches toward the giver until contact is made.",Slide ice cubes down one partner's chest and let the cold water collect at the base of their pelvis.,magic_mountain.jpg
12,Reverse Cowgirl,"The giver lies on their back; the receiver straddles them, facing their feet.","To get more leverage, the receiver can put their knees and shins inside their legs and under the giver's thighs.",reverse_cowgirl.png
13,Ballet Dancer,"Standing on one foot, the receiver should face the giving partner and wrap one of their legs around the giver's waist while the giver helps support.","If the receiver is really flexible, they can put their raised leg on the giver's shoulder for even deeper penetration or clitoral stimulation during outercourse.",ballet_dancer.png
14,Missionary,"The receiver lies on their back, while the giver lies facedown on top.", Switch up the sensations for both of you by shifting the angle of your legs.,missionary.png
15,Cross-Booty,"The giving partner enters the receiver from the missionary position, then slides their chest and legs off the receiver's body so their pelvis is in the same location but the limbs form an “X” together.","Use this unique angle to massage their back, butt, or legs. They'll go crazy (as will you, watching them).",cross_booty.png
